"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","LOAD_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_AREA_NAME","LABEL","XML_DATA_ITEM","POS","MW","EXECUTION_TYPE","GROUP"
"47","2019-04-24T03:00:00-00:00","2019-04-24T04:00:00-00:00",0,"2019-04-23",21,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7093,"ACTUAL",3
"48","2019-04-23T11:00:00-00:00","2019-04-23T12:00:00-00:00",0,"2019-04-23",5,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,5691,"ACTUAL",3
"49","2019-04-23T19:00:00-00:00","2019-04-23T20:00:00-00:00",0,"2019-04-23",13,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7072,"ACTUAL",3
"50","2019-04-23T16:00:00-00:00","2019-04-23T17:00:00-00:00",0,"2019-04-23",10,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7309,"ACTUAL",3
"51","2019-04-24T04:00:00-00:00","2019-04-24T05:00:00-00:00",0,"2019-04-23",22,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6992,"ACTUAL",3
"52","2019-04-23T17:00:00-00:00","2019-04-23T18:00:00-00:00",0,"2019-04-23",11,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7215,"ACTUAL",3
"53","2019-04-23T15:00:00-00:00","2019-04-23T16:00:00-00:00",0,"2019-04-23",9,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,7362,"ACTUAL",3
"54","2019-04-23T23:00:00-00:00","2019-04-24T00:00:00-00:00",0,"2019-04-23",17,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6897,"ACTUAL",3
"55","2019-04-23T12:00:00-00:00","2019-04-23T13:00:00-00:00",0,"2019-04-23",6,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6047,"ACTUAL",3
"56","2019-04-23T20:00:00-00:00","2019-04-23T21:00:00-00:00",0,"2019-04-23",14,0,"ACTUAL","BCHA","Total Actual Hourly Integrated Load","SYS_FCST_ACT_MW",3.8,6973,"ACTUAL",3
