Plant Name,1,2,3,4,5,6,7,8,9,10,11,12
Beardsley,"2,595","3,902","7,760","8,341","7,932","7,846","7,262","6,738","5,054","3,921","3,139","3,699"
Donnells,"11,503","17,299","34,405","36,982","35,165","34,787","32,198","29,874","22,408","17,384","13,919","16,400"
Tulloch,"5,568","8,373","16,654","17,901","17,022","16,839","15,586","14,460","10,846","8,415","6,738","7,938"
Forbestown,"6,003","9,028","17,956","19,301","18,353","18,156","16,804","15,591","11,695","9,073","7,264","8,559"
Kelly Ridge,"2,280","3,429","6,819","7,330","6,970","6,895","6,382","5,921","4,441","3,446","2,759","3,250"
Woodleaf,"8,540","12,842","25,541","27,455","26,106","25,825","23,903","22,177","16,635","12,905","10,333","12,175"
French Meadows,"3,220","4,842","9,630","10,351","9,843","9,737","9,012","8,362","6,272","4,866","3,896","4,590"
Middle Fork,"46,317","75,567","68,528","79,860","83,311","77,336","92,837","92,012","88,332",832,"36,674","47,251"
Oxbow (CA),"1,385","2,082","4,142","4,452","4,233","4,188","3,876","3,596","2,697","2,093","1,676","1,974"
Ralston,"20,502","30,832","61,322","65,915","62,676","62,003","57,387","53,244","39,938","30,984","24,809","29,230"
Parker,164,247,492,528,502,497,460,427,320,248,199,234
Camino,"23,090","41,882","54,013","54,553","56,324","55,474","35,360","48,819","37,583","34,260","16,225","6,448"
Jaybird,"25,495","49,856","52,774","77,414","80,835","79,977","58,073","73,367","56,117","50,579","27,945","11,588"
Loon Lake,"4,223","6,351","12,632","13,578","12,911","12,772","11,822","10,968","8,227","6,383","5,110","6,021"
Robbs Peak,"2,146","3,226","6,417","6,898","6,559","6,488","6,005","5,572","4,179","3,242","2,596","3,059"
White Rock/Slab Creek,"33,937","79,095","93,990","139,415","154,575","139,878","50,121","39,995","26,850","20,087","2,687",0
Devil Canyon,"18,275","40,937","86,732","127,983","130,571","89,529","123,832","130,428","128,523","124,436","114,844","133,255"
Edward C Hyatt,"34,136","25,206","256,869","352,267","375,208","264,583","326,595","355,849","292,390","159,450","124,093","96,197"
Don Pedro,64,"22,962","31,286","30,831","54,016","63,191","52,850","61,417","30,011",-129,"5,615","7,226"
La Grange,409,615,"1,223","1,315","1,250","1,237","1,145","1,062",797,618,495,583
Folsom,"23,908","62,054","81,638","87,187","95,324","121,546","73,203","61,366","41,951","46,449","42,681","36,974"
Judge F Carr,"1,979","2,712","4,418","2,692","10,313","67,174","46,227","44,618","22,933","35,520","19,182","5,584"
Keswick,"12,518","11,766","28,068","30,593","33,216","45,381","46,226","46,281","32,466","27,976","18,010","23,461"
Nimbus,"1,533","2,305","4,584","4,927","4,685","4,635","4,290","3,980","2,985","2,316","1,854","2,185"
Shasta,"52,126","45,287","351,671","366,873","192,125","229,734","253,233","245,312","184,733","144,609","108,776","119,508"
