EnergyDemand,EnergyGeneration,Regup,Regdown
7200.0,290400.0,25240.0,328360.0
5760.0,277200.0,18200.0,327360.0
8640.0,283800.0,16840.0,331600.0
7200.0,250800.0,15400.0,311800.0
5760.0,257400.0,15440.0,310320.0
8640.0,264000.0,15400.0,318440.0
11520.0,244200.0,24840.0,290680.0
11520.0,264000.0,21000.0,315467.60410678544
10080.0,264000.0,26240.0,309040.0
16680.0,277200.0,9840.0,337240.0
16680.0,270877.6112496,23400.0,323680.0
21840.0,270600.0,21080.0,323160.0
31320.0,250800.0,23440.0,317080.0
21840.0,257400.0,22080.0,308960.0
10080.0,257400.0,14000.0,306680.0
15240.0,244199.99999999997,20600.0,300040.0
16680.0,244957.421284789,24800.0,297280.0
15240.0,244200.0,12640.0,308000.0
12360.0,229916.31731319652,12600.0,306560.0
7200.0,250800.0,24757.599999999744,294280.0
7200.0,264000.0,16729.599999999296,311760.0
8640.0,250800.0,16840.0,302400.0
13800.0,231000.0,12600.0,298600.0
8640.0,224400.0,16840.0,284000.0
13800.0,224400.0,23840.0,274160.0
27000.0,244200.0,23331.83209101604,302320.0
23280.0,246669.59999999625,8440.0,329640.0
20400.0,250800.0,18200.0,317000.0
21840.0,244200.0,16880.0,311760.0
17520.0,250800.0,18240.000000001506,306080.0
13800.0,217800.0,11200.000000000065,283999.99999999994
16680.0,222916.65227040002,14000.0,278880.0
28440.0,237600.0,8400.0,317440.0
13800.0,217800.0,14000.0,282600.0
5760.0,194269.07346759673,8400.0,282960.0
10920.0,235387.53449439566,23440.000000001408,281080.0
8640.0,217800.0,16840.0,264200.0
8640.0,224400.0,15400.0,272240.0
15240.0,217800.0,12600.0,276440.0
4320.0,217800.0,22040.0,250480.0
8640.0,204600.0,16880.0,248160.0
7200.0,204600.0,14000.0,252400.0
13800.0,211200.0,10412.387805052116,269800.0
23280.0,211200.0,18240.0,268040.0
21840.0,237600.0,25200.0,284640.0
13800.0,264000.0,9840.0,318360.0
18120.0,257400.0,15440.0,310480.0
16680.0,257400.0,19640.0,304840.0
13800.0,250800.0,12600.0,302400.0
21840.0,244200.0,18200.0,298240.0
20400.0,244200.0,19640.0,292560.0
13800.0,257400.0,21040.0,296360.0
10080.0,244200.0,16840.0,286440.0
15240.0,264000.0,11200.0,317040.0
8640.0,270600.0,22440.0,308600.0
13800.0,277200.0,18240.0,324560.0
7200.0,277200.0,15400.0,320800.0
8640.0,270600.0,21000.0,310040.0
8640.0,283800.0,18200.0,326040.0
15240.0,283800.0,11240.000000000327,336799.9999999997
12360.0,290400.0,15400.0,333560.0
15240.0,290400.0,15400.0,336440.0
15240.0,316800.0,25280.0,354360.0
15240.0,323400.0,30480.0,354360.0
15240.0,323400.0,32240.0,354000.0
15240.0,323400.0,32556.674976005022,352960.0
15240.0,330000.0,28160.0,364680.0
8640.0,330000.0,21080.0,365160.0
5760.0,330000.0,18200.0,365160.0
5760.0,330000.0,18199.99999999697,365160.000000003
5760.0,330000.0,21040.0,363720.0
4320.0,343200.0,30880.0,364240.0
2880.0,320695.8587919971,12600.0,387680.0
2880.0,343083.9672099936,11240.0,387640.0
2880.0,343369.78032879194,19600.0,387280.0
2880.0,343200.0,22440.0,387240.0
1440.0,348381.90597639437,22440.0,387200.0
1440.0,356400.0,30800.00000000849,387686.6666666667
8040.0,343200.0,19600.0,405800.0
8040.0,343200.0,19600.000000000007,405800.0
6600.0,352156.9216107951,19600.0000000037,404599.9999999975
6600.0,354353.20410678175,19600.0,404600.0
0.0,343200.0,12600.0,405000.0
0.0,347337.9241762866,24751.199999997,405600.0
0.0,353612.4439508031,19600.0,411200.0
0.0,340292.2810203865,18797.59999999941,411200.0
0.0,341013.8263151754,19600.0,411200.0
0.0,275814.0685203845,19600.0,411200.0
0.0,266527.79033000313,19600.0,411200.0
0.0,275848.7932759795,16609.393742270622,411600.0
