,Export(MW)
2019-06-15 11,20278.73
2019-06-15 12,20519.000833333335
2019-06-15 13,19241.440833333334
2019-06-15 14,18237.789166666666
2019-06-15 15,19286.159166666668
2019-06-15 16,19672.46666666667
2019-06-15 17,19464.693333333333
2019-06-15 18,20674.559166666666
2019-06-15 19,20640.686666666665
2019-06-15 20,20972.44916666667
2019-06-15 21,20088.061666666665
2019-06-15 22,19875.905
2019-06-15 23,18013.7875
2019-06-16 00,17444.293333333335
2019-06-16 01,17014.048333333336
2019-06-16 02,16727.858333333334
2019-06-16 03,16938.484166666665
2019-06-16 04,16675.79666666667
2019-06-16 05,16676.359166666665
2019-06-16 06,16350.892499999996
2019-06-16 07,19164.865833333333
2019-06-16 08,19354.32416666667
2019-06-16 09,20843.161666666663
2019-06-16 10,21277.086666666666
2019-06-16 11,21797.289999999997
2019-06-16 12,22516.6375
2019-06-16 13,22517.28583333333
2019-06-16 14,21970.148333333334
2019-06-16 15,21898.163333333334
2019-06-16 16,21894.49583333333
2019-06-16 17,22910.73083333333
2019-06-16 18,23140.39333333333
2019-06-16 19,22226.483333333334
2019-06-16 20,21685.51916666667
2019-06-16 21,20735.763333333332
2019-06-16 22,19534.12
2019-06-16 23,18522.672500000004
2019-06-17 00,18302.090833333335
2019-06-17 01,17856.10666666667
2019-06-17 02,17650.09583333333
2019-06-17 03,17683.93
2019-06-17 04,18042.906666666666
2019-06-17 05,18542.694999999996
2019-06-17 06,19618.305000000004
2019-06-17 07,17016.454166666666
2019-06-17 08,15826.125833333334
2019-06-17 09,18700.16
2019-06-17 10,19127.073333333334
2019-06-17 11,20284.39333333333
2019-06-17 12,20761.166666666668
2019-06-17 13,20829.516666666666
2019-06-17 14,21795.05083333334
2019-06-17 15,23914.22083333334
2019-06-17 16,25004.180833333336
2019-06-17 17,23239.059166666662
2019-06-17 18,22362.864166666666
2019-06-17 19,21793.7075
2019-06-17 20,21295.76
2019-06-17 21,21292.84833333333
2019-06-17 22,18582.505833333333
2019-06-17 23,16801.9925
2019-06-18 00,16591.030000000002
2019-06-18 01,17558.629999999997
2019-06-18 02,16514.329166666666
2019-06-18 03,17431.4025
2019-06-18 04,17566.540833333333
2019-06-18 05,18236.043333333335
2019-06-18 06,19144.18583333333
2019-06-18 07,17549.226666666666
2019-06-18 08,17029.22333333333
2019-06-18 09,17056.844166666666
2019-06-18 10,17853.900833333333
2019-06-18 11,18428.133333333335
2019-06-18 12,17684.851666666666
2019-06-18 13,19014.2425
2019-06-18 14,19772.96666666667
2019-06-18 15,20585.24
2019-06-18 16,21075.190000000002
2019-06-18 17,21491.686666666665
2019-06-18 18,22059.796666666665
2019-06-18 19,22498.29416666667
2019-06-18 20,22812.847499999993
2019-06-18 21,22275.709166666667
2019-06-18 22,20216.866666666665
2019-06-18 23,19720.325
2019-06-19 00,19579.150000000005
2019-06-19 01,18610.583333333332
2019-06-19 02,18826.318333333333
2019-06-19 03,18487.260833333334
2019-06-19 04,18860.433333333334
2019-06-19 05,19124.180833333336
2019-06-19 06,20016.900833333333
2019-06-19 07,17866.829166666666
2019-06-19 08,18426.49166666667
2019-06-19 09,19974.716666666664
2019-06-19 10,19987.594999999998
2019-06-19 11,19963.779166666664
2019-06-19 12,20501.2125
2019-06-19 13,20343.4075
2019-06-19 14,20054.600833333334
2019-06-19 15,22328.430000000004
2019-06-19 16,23096.265833333335
2019-06-19 17,22006.4425
2019-06-19 18,23554.143333333337
2019-06-19 19,24709.388333333336
2019-06-19 20,24231.570000000003
2019-06-19 21,23766.25583333333
2019-06-19 22,21515.833333333332
2019-06-19 23,19454.040833333333
2019-06-20 00,18688.219166666666
2019-06-20 01,17898.498333333333
2019-06-20 02,17229.817499999997
2019-06-20 03,17588.153333333332
2019-06-20 04,17580.0075
2019-06-20 05,18411.306666666667
2019-06-20 06,19865.283333333333
2019-06-20 07,18911.97583333333
2019-06-20 08,18912.304166666672
2019-06-20 09,19497.14
2019-06-20 10,21595.4925
2019-06-20 11,22188.004166666666
2019-06-20 12,21152.420000000002
2019-06-20 13,21229.4425
2019-06-20 14,15022.118333333332
2019-06-20 15,10864.78
2019-06-20 16,14359.592499999999
2019-06-20 17,12332.753333333332
2019-06-20 18,21594.695833333335
2019-06-20 19,22016.58833333333
2019-06-20 20,22078.5425
2019-06-20 21,20599.0475
2019-06-20 22,19701.515
2019-06-20 23,18943.734999999997
2019-06-21 00,18689.727499999997
2019-06-21 01,18868.51916666667
2019-06-21 02,18059.554999999997
2019-06-21 03,18246.201666666668
2019-06-21 04,17756.755833333333
2019-06-21 05,17465.130833333333
2019-06-21 06,18160.880833333333
2019-06-21 07,17790.67166666667
2019-06-21 08,20635.45666666667
2019-06-21 09,20845.5275
2019-06-21 10,20495.883333333335
2019-06-21 11,20485.46083333333
2019-06-21 12,20840.51916666667
2019-06-21 13,20476.653333333332
2019-06-21 14,20091.640833333335
2019-06-21 15,20825.595833333336
2019-06-21 16,21269.404166666664
2019-06-21 17,20819.09
2019-06-21 18,21769.2625
2019-06-21 19,21583.920833333334
2019-06-21 20,21561.285
2019-06-21 21,20435.19083333333
2019-06-21 22,18485.859166666665
2019-06-21 23,17729.830833333333
2019-06-22 00,18660.975000000002
2019-06-22 01,18291.315
2019-06-22 02,18291.4375
2019-06-22 03,18478.665833333333
2019-06-22 04,18280.375833333335
2019-06-22 05,18287.58
2019-06-22 06,18673.680833333332
2019-06-22 07,17808.304999999997
2019-06-22 08,19743.925000000003
2019-06-22 09,20171.60083333333
2019-06-22 10,21446.537500000002
2019-06-22 11,20594.285
2019-06-22 12,19987.353333333333
2019-06-22 13,22088.423333333336
2019-06-22 14,20871.265833333335
2019-06-22 15,20430.86666666667
2019-06-22 16,20674.03583333333
2019-06-22 17,20484.411666666663
2019-06-22 18,20454.544166666667
2019-06-22 19,21058.455
2019-06-22 20,21278.656666666666
2019-06-22 21,20995.879166666666
2019-06-22 22,20041.150833333333
2019-06-22 23,18538.7775
2019-06-23 00,18643.025833333333
2019-06-23 01,18707.7975
2019-06-23 02,18841.704166666666
2019-06-23 03,18421.474166666667
2019-06-23 04,18379.60833333333
2019-06-23 05,18352.329999999998
2019-06-23 06,18656.8325
2019-06-23 07,17344.965833333332
2019-06-23 08,19622.920833333334
2019-06-23 09,20119.450833333332
2019-06-23 10,19938.995833333334
2019-06-23 11,19950.072500000002
2019-06-23 12,18573.451666666668
2019-06-23 13,19478.509166666667
2019-06-23 14,20203.144166666665
2019-06-23 15,19786.429166666665
2019-06-23 16,20014.931666666667
2019-06-23 17,20242.20583333333
2019-06-23 18,20341.099166666667
2019-06-23 19,21649.065833333338
2019-06-23 20,21674.686666666665
2019-06-23 21,20877.244999999995
2019-06-23 22,18579.71
2019-06-23 23,18529.499999999996
2019-06-24 00,17032.885833333334
2019-06-24 01,17002.07083333333
2019-06-24 02,17297.945833333335
2019-06-24 03,17733.550000000003
2019-06-24 04,17282.7075
2019-06-24 05,17413.21416666667
2019-06-24 06,18256.3625
2019-06-24 07,17894.496666666666
2019-06-24 08,18133.045833333334
2019-06-24 09,17467.608333333334
2019-06-24 10,17507.0
2019-06-24 11,19244.782499999998
2019-06-24 12,19197.41166666667
2019-06-24 13,19387.312499999996
2019-06-24 14,19800.335000000003
2019-06-24 15,20069.199166666665
2019-06-24 16,20185.790833333336
2019-06-24 17,20806.016666666666
2019-06-24 18,20748.24583333333
2019-06-24 19,21510.533333333336
2019-06-24 20,21843.137499999997
2019-06-24 21,20351.74166666667
2019-06-24 22,19340.263333333336
2019-06-24 23,18649.124166666672
2019-06-25 00,18256.321666666667
2019-06-25 01,18234.388333333336
2019-06-25 02,17844.44166666667
2019-06-25 03,17857.049166666668
2019-06-25 04,17548.655833333334
2019-06-25 05,17636.88
2019-06-25 06,17780.605
2019-06-25 07,18031.0925
2019-06-25 08,18959.798333333336
2019-06-25 09,19016.87833333333
2019-06-25 10,19168.099166666663
2019-06-25 11,20319.759166666667
2019-06-25 12,20283.374166666665
2019-06-25 13,20502.6975
2019-06-25 14,20909.685833333333
2019-06-25 15,21324.597500000003
2019-06-25 16,20538.305
2019-06-25 17,20791.99916666667
2019-06-25 18,21354.5975
2019-06-25 19,21567.30166666667
2019-06-25 20,21670.96666666667
2019-06-25 21,20297.024166666666
2019-06-25 22,19667.289999999997
2019-06-25 23,17602.465833333332
2019-06-26 00,17519.516666666666
2019-06-26 01,16780.300833333335
2019-06-26 02,15933.644166666667
2019-06-26 03,16142.793333333335
2019-06-26 04,16584.629166666666
2019-06-26 05,16693.378333333334
2019-06-26 06,17543.355
2019-06-26 07,17336.603333333336
2019-06-26 08,17056.845
2019-06-26 09,17741.23
2019-06-26 10,18712.699166666665
2019-06-26 11,20895.910833333335
2019-06-26 12,22293.645
2019-06-26 13,21135.275833333333
2019-06-26 14,15442.329166666668
2019-06-26 15,20382.569166666664
2019-06-26 16,21148.268333333333
2019-06-26 17,20655.54
2019-06-26 18,19645.995
2019-06-26 19,20370.476666666666
2019-06-26 20,20220.325833333336
2019-06-26 21,19945.699166666665
2019-06-26 22,18662.325833333332
2019-06-26 23,17455.437499999996
2019-06-27 00,17449.361666666668
2019-06-27 01,16932.2275
2019-06-27 02,16661.915833333333
2019-06-27 03,16580.635
2019-06-27 04,17222.360833333336
2019-06-27 05,18138.255
2019-06-27 06,18576.946666666667
2019-06-27 07,18822.638333333332
2019-06-27 08,20526.468333333334
2019-06-27 09,20678.823333333334
2019-06-27 10,21160.189166666667
2019-06-27 11,19846.332499999993
2019-06-27 12,20320.684166666666
2019-06-27 13,20475.597500000003
2019-06-27 14,20137.62166666667
2019-06-27 15,20474.8225
2019-06-27 16,19939.245000000003
2019-06-27 17,19510.77583333333
2019-06-27 18,19585.541666666668
2019-06-27 19,20047.502499999995
2019-06-27 20,20753.30833333333
2019-06-27 21,19814.226666666666
2019-06-27 22,18862.554166666665
2019-06-27 23,18281.326666666664
2019-06-28 00,17386.71416666667
2019-06-28 01,16552.445833333335
2019-06-28 02,16974.645833333336
2019-06-28 03,16721.3625
2019-06-28 04,16833.76083333333
2019-06-28 05,17057.624166666665
2019-06-28 06,18019.50416666667
2019-06-28 07,17341.94583333333
2019-06-28 08,17229.075833333336
2019-06-28 09,18235.501666666667
2019-06-28 10,18552.291666666668
2019-06-28 11,19154.040833333333
2019-06-28 12,18673.041666666668
2019-06-28 13,18890.229166666668
2019-06-28 14,18730.66833333333
2019-06-28 15,19169.827500000003
2019-06-28 16,19277.285
2019-06-28 17,19943.303333333333
2019-06-28 18,21074.912500000002
2019-06-28 19,21121.738333333335
2019-06-28 20,21652.844999999998
2019-06-28 21,21617.545833333334
2019-06-28 22,19627.944166666664
2019-06-28 23,18773.414166666666
2019-06-29 00,17429.482500000002
2019-06-29 01,17266.320000000003
2019-06-29 02,17074.253333333334
2019-06-29 03,17237.389166666664
2019-06-29 04,17483.170000000002
2019-06-29 05,16379.105833333333
2019-06-29 06,16424.465833333335
2019-06-29 07,16342.44
2019-06-29 08,17426.6225
2019-06-29 09,17775.35916666666
2019-06-29 10,15060.740833333335
2019-06-29 12,6097.8675
2019-06-29 13,18186.0125
2019-06-29 14,18678.471666666665
2019-06-29 15,19946.459166666667
2019-06-29 16,19938.533333333336
2019-06-29 17,20032.84
2019-06-29 18,19374.724166666667
2019-06-29 19,19967.040833333333
2019-06-29 20,19912.77583333333
2019-06-29 21,18808.0725
2019-06-29 22,18878.585
2019-06-29 23,17829.783333333336
2019-06-30 00,16988.84833333333
2019-06-30 01,17005.954166666666
2019-06-30 02,17059.5025
2019-06-30 03,16673.1025
2019-06-30 04,16160.222499999998
2019-06-30 05,16736.745000000003
2019-06-30 06,17205.37916666667
2019-06-30 07,17109.079166666666
2019-06-30 08,17811.694166666668
2019-06-30 09,18481.869166666667
2019-06-30 10,19586.658333333336
2019-06-30 11,19152.757500000003
2019-06-30 12,19517.291666666668
2019-06-30 13,20291.870833333334
2019-06-30 14,21841.549166666668
2019-06-30 15,20476.37
2019-06-30 16,21630.749166666665
2019-06-30 17,22261.055833333332
2019-06-30 18,21536.129166666666
2019-06-30 19,20900.920833333334
2019-06-30 20,20060.743333333336
2019-06-30 21,19506.55
2019-06-30 22,19091.640000000003
2019-06-30 23,17987.0725
2019-07-01 00,19443.995
2019-07-01 01,18746.986666666664
2019-07-01 02,19050.241666666665
2019-07-01 03,18649.986666666668
2019-07-01 04,18201.455833333337
2019-07-01 05,18303.400000000005
2019-07-01 06,17263.498333333333
2019-07-01 07,20684.769999999997
2019-07-01 08,23129.620833333334
2019-07-01 09,23314.350000000002
2019-07-01 10,21823.3375
2019-07-01 11,22228.88666666667
2019-07-01 12,24660.845
2019-07-01 13,25668.272499999995
2019-07-01 14,25193.961666666666
2019-07-01 15,25416.063333333328
2019-07-01 16,25021.41083333333
2019-07-01 17,24307.007499999996
2019-07-01 18,22725.601666666666
2019-07-01 19,22003.239166666666
2019-07-01 20,21802.826666666668
2019-07-01 21,21524.518333333333
2019-07-01 22,21245.833333333336
2019-07-01 23,20729.789999999997
2019-07-02 00,18919.40583333333
2019-07-02 01,19392.774166666666
2019-07-02 02,19369.975000000002
2019-07-02 03,20047.840833333335
2019-07-02 04,20320.1175
2019-07-02 05,19806.289166666666
2019-07-02 06,17705.641666666666
2019-07-02 07,19391.4575
2019-07-02 08,23135.022500000003
2019-07-02 09,22938.77916666667
2019-07-02 10,23311.79333333333
2019-07-02 11,23961.15166666666
2019-07-02 12,24689.2975
2019-07-02 13,24184.35666666667
2019-07-02 14,24586.443333333333
2019-07-02 15,23882.248333333333
2019-07-02 16,23906.785
2019-07-02 17,23484.225833333334
2019-07-02 18,21575.749999999996
2019-07-02 19,22156.408333333336
2019-07-02 20,21034.8125
2019-07-02 21,19807.346666666668
2019-07-02 22,19122.079999999998
2019-07-02 23,18396.520833333332
2019-07-03 00,18863.5075
2019-07-03 01,19241.295
2019-07-03 02,19441.225833333334
2019-07-03 03,19489.75583333333
2019-07-03 04,19781.054166666665
2019-07-03 05,19981.40833333333
2019-07-03 06,19649.8275
2019-07-03 07,20913.418333333335
2019-07-03 08,22011.05083333334
2019-07-03 09,22774.149999999998
2019-07-03 10,23509.885000000006
2019-07-03 11,22661.320833333335
2019-07-03 12,22563.582500000004
2019-07-03 13,22119.48583333333
2019-07-03 14,22379.007500000003
2019-07-03 15,23569.069166666668
2019-07-03 16,23369.724999999995
2019-07-03 17,22355.384166666667
2019-07-03 18,22337.778333333335
2019-07-03 19,22462.265833333335
2019-07-03 20,22566.103333333336
2019-07-03 21,22233.569166666668
2019-07-03 22,21271.506666666668
2019-07-03 23,20115.3675
2019-07-04 00,20153.140000000003
2019-07-04 01,19412.541666666668
2019-07-04 02,19175.680833333336
2019-07-04 03,19073.248333333333
2019-07-04 04,19246.333333333336
2019-07-04 05,19453.635833333334
2019-07-04 06,20114.865
2019-07-04 07,22388.847500000003
2019-07-04 08,23907.938333333328
2019-07-04 09,24108.831666666665
2019-07-04 10,24063.006666666668
2019-07-04 11,24563.389166666664
2019-07-04 12,18797.988333333335
2019-07-04 13,16806.97
2019-07-04 14,25262.685833333333
2019-07-04 15,24739.424166666668
2019-07-04 16,25611.2175
2019-07-04 17,25358.705
2019-07-04 18,16346.227499999999
2019-07-04 19,17395.568333333333
2019-07-04 20,21925.404166666664
2019-07-04 21,20947.921666666665
2019-07-04 22,20206.744166666664
2019-07-04 23,20391.484999999997
2019-07-05 00,19506.578333333335
2019-07-05 01,19536.94
2019-07-05 02,19626.103333333333
2019-07-05 03,20031.323333333334
2019-07-05 04,20234.471666666668
2019-07-05 05,19471.918333333335
2019-07-05 06,19391.182500000003
2019-07-05 07,19337.4575
2019-07-05 08,22696.772500000003
2019-07-05 09,22549.47083333333
2019-07-05 10,22106.799166666664
2019-07-05 11,21830.675
2019-07-05 12,22338.250833333335
2019-07-05 13,21781.21416666667
2019-07-05 14,21459.7125
2019-07-05 15,21908.56666666667
2019-07-05 16,22081.7975
2019-07-05 17,21938.198333333334
2019-07-05 18,22069.36
2019-07-05 19,22503.427500000005
2019-07-05 20,21785.455
2019-07-05 21,21911.629166666666
2019-07-05 22,20447.565
2019-07-05 23,20189.179999999997
2019-07-06 00,19299.462499999998
2019-07-06 01,18841.111666666664
2019-07-06 02,19946.641666666666
2019-07-06 03,19647.727499999997
2019-07-06 04,18357.85666666667
2019-07-06 05,18117.14666666667
2019-07-06 06,17915.74
2019-07-06 07,18831.636666666665
2019-07-06 08,20563.376666666667
2019-07-06 09,20652.6675
2019-07-06 10,21587.4525
2019-07-06 11,22475.766666666666
2019-07-06 12,22734.617500000004
2019-07-06 13,22916.2075
2019-07-06 14,22590.304999999997
2019-07-06 15,22213.855833333335
2019-07-06 16,21287.27333333333
2019-07-06 17,20551.376666666667
2019-07-06 18,19948.8525
2019-07-06 19,20082.675
2019-07-06 20,20107.8225
2019-07-06 21,18180.366666666665
2019-07-06 22,20363.477499999997
2019-07-06 23,19777.5
2019-07-07 00,19608.862500000003
2019-07-07 01,19064.608333333334
2019-07-07 02,18734.693333333333
2019-07-07 03,17311.54416666667
2019-07-07 04,17896.212499999998
2019-07-07 05,17414.679166666665
2019-07-07 06,16941.618333333336
2019-07-07 07,19192.605833333335
2019-07-07 08,20125.79416666667
2019-07-07 09,22910.76166666666
2019-07-07 10,23733.384166666667
2019-07-07 11,24336.88666666667
2019-07-07 12,24295.77
2019-07-07 13,24686.2325
2019-07-07 14,24092.290833333333
2019-07-07 15,23569.0825
2019-07-07 16,23922.650833333333
2019-07-07 17,22016.08916666667
2019-07-07 18,20714.100000000002
2019-07-07 19,21418.841666666667
2019-07-07 20,21726.812499999996
2019-07-07 21,20997.979166666668
2019-07-07 22,19579.743333333332
2019-07-07 23,18555.304999999997
2019-07-08 00,18776.855
2019-07-08 01,18413.284166666668
2019-07-08 02,17840.6175
2019-07-08 03,18258.17
2019-07-08 04,18316.0625
2019-07-08 05,18938.094166666673
2019-07-08 06,17445.949166666665
2019-07-08 07,18807.74666666667
2019-07-08 08,18422.3575
2019-07-08 09,19344.3325
2019-07-08 10,22201.591666666664
2019-07-08 11,22619.607500000002
2019-07-08 12,24065.82083333333
2019-07-08 13,25444.9975
2019-07-08 14,24147.065833333338
2019-07-08 15,25706.571666666667
2019-07-08 16,25091.644166666665
2019-07-08 17,23683.78583333334
2019-07-08 18,22857.1825
2019-07-08 19,22412.60083333333
2019-07-08 20,22064.555000000004
2019-07-08 21,21756.22333333333
2019-07-08 22,22159.370833333334
2019-07-08 23,20074.440000000002
2019-07-09 00,19057.369166666667
2019-07-09 01,17939.639166666668
2019-07-09 02,17914.653333333332
2019-07-09 03,18016.009166666667
2019-07-09 04,18429.528333333335
2019-07-09 05,18956.985833333332
2019-07-09 06,17290.89333333333
2019-07-09 07,19561.95583333333
2019-07-09 08,19117.130833333333
2019-07-09 09,20227.114166666663
2019-07-09 10,20838.19916666667
2019-07-09 11,21219.575
2019-07-09 12,22340.8025
2019-07-09 13,21874.418333333335
2019-07-09 14,22506.69583333333
2019-07-09 15,22920.11083333333
2019-07-09 16,23399.89333333333
2019-07-09 17,23448.248333333337
2019-07-09 18,23096.5525
2019-07-09 19,23470.14333333334
2019-07-09 20,21778.378333333338
2019-07-09 21,21260.69166666667
2019-07-09 22,21234.466666666664
2019-07-09 23,20624.323333333334
2019-07-10 00,19169.010833333334
2019-07-10 01,18851.344166666666
2019-07-10 02,19291.360833333336
2019-07-10 03,18989.830833333337
2019-07-10 04,18977.97
2019-07-10 05,19112.090833333335
2019-07-10 06,18096.965
2019-07-10 07,18076.530000000002
2019-07-10 08,19173.84333333333
2019-07-10 09,18563.498333333337
2019-07-10 10,19877.470833333336
2019-07-10 11,19980.26916666667
2019-07-10 12,21636.48
2019-07-10 13,21512.8525
2019-07-10 14,21820.655833333338
2019-07-10 15,22465.280833333334
2019-07-10 16,22374.502500000002
2019-07-10 17,21133.314166666663
2019-07-10 18,3952.2141666666666
2019-07-10 19,23913.068333333333
2019-07-10 20,22673.0175
2019-07-10 21,20950.743333333332
2019-07-10 22,21210.841666666664
2019-07-10 23,16662.083333333336
2019-07-11 00,16333.326666666666
2019-07-11 01,19706.154999999995
2019-07-11 02,18931.9175
2019-07-11 03,18567.25
2019-07-11 04,18982.774999999998
2019-07-11 05,18778.680833333332
2019-07-11 06,18708.372499999998
2019-07-11 07,19179.568333333333
2019-07-11 08,19521.482500000002
2019-07-11 09,18768.83333333334
2019-07-11 10,19700.75333333333
2019-07-11 11,20717.638333333336
2019-07-11 12,21328.17
2019-07-11 13,21005.29416666667
2019-07-11 14,23946.607500000002
2019-07-11 15,25237.559999999998
2019-07-11 16,25994.784166666665
2019-07-11 17,25703.047500000004
2019-07-11 18,26248.750000000004
2019-07-11 19,26280.111666666664
2019-07-11 20,24030.814166666667
2019-07-11 21,23163.698333333334
2019-07-11 22,21662.865833333333
2019-07-11 23,21666.88666666667
2019-07-12 00,20100.274166666666
2019-07-12 01,19811.214166666665
2019-07-12 02,19410.649999999998
2019-07-12 03,18591.568333333333
2019-07-12 04,18794.765
2019-07-12 05,19460.29833333333
2019-07-12 06,19837.9325
2019-07-12 07,19329.97083333333
2019-07-12 08,19010.883333333328
2019-07-12 09,20374.305833333332
2019-07-12 10,21325.16166666667
2019-07-12 11,22701.179999999997
2019-07-12 12,25537.34833333333
2019-07-12 13,26061.954166666674
2019-07-12 14,26875.862499999992
2019-07-12 15,27660.978333333333
2019-07-12 16,28061.36916666666
2019-07-12 17,29487.8575
2019-07-12 18,28472.194999999996
2019-07-12 19,27859.058333333334
2019-07-12 20,25913.6975
2019-07-12 21,24381.48833333333
2019-07-12 22,22195.647500000003
2019-07-12 23,20924.7025
2019-07-13 00,18335.8425
2019-07-13 01,19221.253333333334
2019-07-13 02,19087.7125
2019-07-13 03,18884.684999999998
2019-07-13 04,18966.03083333333
2019-07-13 05,19406.850833333334
2019-07-13 06,19598.191666666662
2019-07-13 07,17907.530000000002
2019-07-13 08,18609.157500000005
2019-07-13 09,20014.318333333333
2019-07-13 10,21328.64083333333
2019-07-13 11,22304.615
2019-07-13 12,23931.043333333335
2019-07-13 13,24564.915000000005
2019-07-13 14,24839.0175
2019-07-13 15,25889.945000000007
2019-07-13 16,26218.96166666667
2019-07-13 17,27782.88
2019-07-13 18,27804.138333333332
2019-07-13 19,27688.460833333334
2019-07-13 20,25876.387499999997
2019-07-13 21,24329.69666666667
2019-07-13 22,20983.562499999996
2019-07-13 23,20243.33916666667
2019-07-14 00,20710.23833333333
2019-07-14 01,21190.856666666667
2019-07-14 02,20523.958333333332
2019-07-14 03,20164.851666666673
2019-07-14 04,20350.083333333332
2019-07-14 05,20567.758333333335
2019-07-14 06,20630.908333333336
2019-07-14 07,19182.305
2019-07-14 08,19414.5
2019-07-14 09,19414.995
2019-07-14 10,21321.640000000003
2019-07-14 11,22563.381666666668
2019-07-14 12,22371.22083333333
2019-07-14 13,23401.71416666666
2019-07-14 14,23769.087499999998
2019-07-14 15,24892.061666666665
2019-07-14 16,24142.995833333334
2019-07-14 17,23763.458333333332
2019-07-14 18,24920.492499999997
2019-07-14 19,25237.112500000003
2019-07-14 20,24940.343333333327
2019-07-14 21,23884.00833333333
2019-07-14 22,22721.487500000003
2019-07-14 23,21977.053333333333
2019-07-15 00,20645.2425
2019-07-15 01,20627.389166666664
2019-07-15 02,20548.202499999996
2019-07-15 03,20304.018333333337
2019-07-15 04,20464.563333333335
2019-07-15 05,20893.63333333333
2019-07-15 06,22481.03
2019-07-15 07,22167.3425
2019-07-15 08,20329.228333333336
2019-07-15 09,20189.398333333334
2019-07-15 10,21502.926666666666
2019-07-15 11,22487.8075
2019-07-15 12,25431.530833333334
2019-07-15 13,26330.0
2019-07-15 14,20326.03
2019-07-15 15,27098.88666666666
2019-07-15 16,27347.376666666667
2019-07-15 17,27686.99666666667
2019-07-15 18,28174.7175
2019-07-15 19,29057.061666666672
2019-07-15 20,26503.117500000004
2019-07-15 21,24768.125
2019-07-15 22,22962.315
2019-07-15 23,21388.930833333336
2019-07-16 00,20249.978333333333
2019-07-16 01,20596.514166666664
2019-07-16 02,20351.645
2019-07-16 03,19768.377500000002
2019-07-16 04,20243.33
2019-07-16 05,21155.126666666663
2019-07-16 06,21102.545000000002
2019-07-16 07,20385.635833333334
2019-07-16 08,20829.673333333336
2019-07-16 09,21042.240833333333
2019-07-16 10,21169.0475
2019-07-16 11,22665.16416666667
2019-07-16 12,22967.6975
2019-07-16 13,23337.854166666668
2019-07-16 14,23195.159166666665
2019-07-16 15,24449.844166666666
2019-07-16 16,25774.33166666666
2019-07-16 17,25870.53333333333
2019-07-16 18,25572.195000000003
2019-07-16 19,25269.994166666667
2019-07-16 20,25085.043333333335
2019-07-16 21,24607.146666666667
2019-07-16 22,23210.965833333332
2019-07-16 23,20847.852499999997
2019-07-17 00,21274.002500000002
2019-07-17 01,21057.337499999998
2019-07-17 02,19671.226666666666
2019-07-17 03,18966.548333333332
2019-07-17 04,19266.718333333334
2019-07-17 05,19702.845
2019-07-17 06,20616.690833333334
2019-07-17 07,21140.970833333336
2019-07-17 08,21159.9575
2019-07-17 09,21371.62166666667
2019-07-17 10,22044.146666666667
2019-07-17 11,22381.848333333328
2019-07-17 12,22647.502500000002
2019-07-17 13,23643.829166666666
2019-07-17 14,23801.2975
2019-07-17 15,24424.6525
2019-07-17 16,24322.52666666666
2019-07-17 17,24371.8
2019-07-17 18,24785.5925
2019-07-17 19,25161.945000000003
2019-07-17 20,24363.7025
2019-07-17 21,23895.875833333335
2019-07-17 22,23949.0475
2019-07-17 23,16491.938333333335
2019-07-18 00,20521.7775
2019-07-18 01,20181.65833333333
2019-07-18 02,19586.986666666664
2019-07-18 03,19407.874166666665
2019-07-18 04,19368.291666666668
2019-07-18 05,19446.99
2019-07-18 06,20206.10583333333
2019-07-18 07,19816.386666666665
2019-07-18 08,18913.3375
2019-07-18 09,20044.23
2019-07-18 10,20655.235833333332
2019-07-18 11,21409.46416666667
2019-07-18 12,22656.765
2019-07-18 13,22739.653333333335
2019-07-18 14,23092.3425
2019-07-18 15,23537.698333333334
2019-07-18 16,24427.897500000003
2019-07-18 17,24840.45
2019-07-18 18,25180.46083333333
2019-07-18 19,24850.535
2019-07-18 20,24006.149166666666
2019-07-18 21,23279.126666666663
2019-07-18 22,22251.635000000006
2019-07-18 23,20911.017499999998
2019-07-19 00,20279.435
2019-07-19 01,19954.685
2019-07-19 02,19391.978333333333
2019-07-19 03,19387.091666666664
2019-07-19 04,19663.43416666667
2019-07-19 05,19941.555833333336
2019-07-19 06,19987.690833333334
2019-07-19 07,19566.815833333334
2019-07-19 08,18377.97333333333
2019-07-19 09,18464.098333333335
2019-07-19 10,19242.39416666666
2019-07-19 11,20089.091666666667
2019-07-19 12,20328.12083333333
2019-07-19 13,21068.745833333334
2019-07-19 14,21597.403333333335
2019-07-19 15,21840.965833333335
2019-07-19 16,22242.648333333334
2019-07-19 17,22350.149999999998
2019-07-19 18,21676.765833333335
2019-07-19 19,21876.710833333334
2019-07-19 20,21984.76916666667
2019-07-19 21,20970.65833333333
2019-07-19 22,21123.763333333332
2019-07-19 23,20529.084999999995
2019-07-20 00,19351.900833333333
2019-07-20 01,18985.998333333333
2019-07-20 02,19003.921666666665
2019-07-20 03,19006.610833333336
2019-07-20 04,18596.314166666667
2019-07-20 05,18760.02666666667
2019-07-20 06,16425.62833333333
2019-07-20 07,16352.78416666667
2019-07-20 08,18931.809166666666
2019-07-20 09,20116.76
2019-07-20 10,19746.200833333336
2019-07-20 11,19273.695833333335
2019-07-20 12,18948.637499999997
2019-07-20 13,20941.522500000003
2019-07-20 14,21012.569999999996
2019-07-20 15,20773.918333333335
2019-07-20 16,20443.9425
2019-07-20 17,20938.350833333334
2019-07-20 18,20947.943333333333
2019-07-20 19,21521.782499999998
