,Export(MW)
2019-01-16 19,25585.841666666664
2019-01-16 20,25648.07416666667
2019-01-16 21,22987.92
2019-01-16 22,19581.9425
2019-01-16 23,18495.765833333335
2019-01-17 00,18960.475833333334
2019-01-17 01,18994.055833333332
2019-01-17 02,18560.465833333335
2019-01-17 03,19082.4425
2019-01-17 04,20565.263333333336
2019-01-17 05,22378.834166666667
2019-01-17 06,24086.983333333334
2019-01-17 07,23722.648333333334
2019-01-17 08,24332.534166666668
2019-01-17 09,22519.155833333334
2019-01-17 10,22029.285
2019-01-17 11,22261.494999999995
2019-01-17 12,21489.830833333333
2019-01-17 13,18229.895
2019-01-17 14,21994.51166666667
2019-01-17 15,22778.02416666667
2019-01-17 16,22797.727499999997
2019-01-17 17,24864.41
2019-01-17 18,24132.20583333333
2019-01-17 19,24313.671666666665
2019-01-17 20,23809.477500000005
2019-01-17 21,22929.17
2019-01-17 22,20890.859999999997
2019-01-17 23,19980.670000000002
2019-01-18 00,19887.259166666667
2019-01-18 01,19496.349166666667
2019-01-18 02,19355.428333333333
2019-01-18 03,19587.094166666666
2019-01-18 04,20201.0825
2019-01-18 05,21290.887499999997
2019-01-18 06,21511.802499999994
2019-01-18 07,21984.399999999998
2019-01-18 08,20877.45416666667
2019-01-18 09,19810.670833333334
2019-01-18 10,19838.0525
2019-01-18 11,21351.82333333333
2019-01-18 12,20571.530833333338
2019-01-18 13,21209.205
2019-01-18 14,21408.822500000002
2019-01-18 15,21639.14
2019-01-18 16,22474.875833333335
2019-01-18 17,23350.372499999998
2019-01-18 18,23149.05833333333
2019-01-18 19,23583.093333333334
2019-01-18 20,23460.831666666665
2019-01-18 21,21990.125833333335
2019-01-18 22,21381.146666666667
2019-01-18 23,20502.56583333333
2019-01-19 00,20713.399166666666
2019-01-19 01,19695.63583333333
2019-01-19 02,19505.0025
2019-01-19 03,19549.774999999998
2019-01-19 04,20028.478333333333
2019-01-19 05,20944.549166666668
2019-01-19 06,21460.819166666668
2019-01-19 07,21416.320833333335
2019-01-19 08,20860.48
2019-01-19 09,20953.88
2019-01-19 10,20958.55
2019-01-19 11,22145.853333333336
2019-01-19 12,21949.709166666667
2019-01-19 13,21223.80916666667
2019-01-19 14,20907.39
2019-01-19 15,20941.515
2019-01-19 16,20761.705833333333
2019-01-19 17,21411.50833333333
2019-01-19 18,22260.191666666666
2019-01-19 19,22672.260833333334
2019-01-19 20,23502.67583333333
2019-01-19 21,22111.177499999994
2019-01-19 22,22811.178333333333
2019-01-19 23,21807.664999999997
2019-01-20 00,20821.95666666666
2019-01-20 01,21686.44833333333
2019-01-20 02,21882.56583333333
2019-01-20 03,21635.510833333337
2019-01-20 04,21404.219166666666
2019-01-20 05,21427.601666666666
2019-01-20 06,20497.679166666665
2019-01-20 07,20511.039166666666
2019-01-20 08,21555.12833333333
2019-01-20 09,21933.593333333334
2019-01-20 10,21389.376666666663
2019-01-20 11,21682.456666666665
2019-01-20 12,21598.708333333332
2019-01-20 13,22307.78916666667
2019-01-20 14,21404.173333333332
2019-01-20 15,22361.864166666666
2019-01-20 16,23097.209999999995
2019-01-20 17,24076.374999999996
2019-01-20 18,24562.712500000005
2019-01-20 19,24455.905000000002
2019-01-20 20,23298.592500000002
2019-01-20 21,21705.498333333333
2019-01-20 22,21375.120833333334
2019-01-20 23,20433.020833333336
2019-01-21 00,20936.3125
2019-01-21 01,21313.9675
2019-01-21 02,20201.188333333335
2019-01-21 03,19447.445833333335
2019-01-21 04,20551.021666666667
2019-01-21 05,20721.939166666667
2019-01-21 06,20656.98833333334
2019-01-21 07,22235.994166666667
2019-01-21 08,22023.882499999996
2019-01-21 09,21698.015
2019-01-21 10,23477.57083333333
2019-01-21 11,23720.13916666667
2019-01-21 12,22612.309166666662
2019-01-21 13,20339.615833333333
2019-01-21 14,19652.4825
2019-01-21 15,20952.69
2019-01-21 16,21696.752500000002
2019-01-21 17,23343.845
2019-01-21 18,23414.176666666666
2019-01-21 19,23327.75
2019-01-21 20,22521.521666666667
2019-01-21 21,21386.364166666666
2019-01-21 22,20449.115
2019-01-21 23,19608.714166666665
2019-01-22 00,19670.079166666666
2019-01-22 01,19878.181666666667
2019-01-22 02,19943.269999999997
2019-01-22 03,20015.338333333337
2019-01-22 04,21089.743333333336
2019-01-22 05,21471.38333333333
2019-01-22 06,22633.653333333332
2019-01-22 07,22934.954166666666
2019-01-22 08,21622.36416666667
2019-01-22 09,22211.605
2019-01-22 10,21131.395
2019-01-22 11,20589.639166666664
2019-01-22 12,20594.23833333333
2019-01-22 13,20555.338333333333
2019-01-22 14,20155.320833333335
2019-01-22 15,21559.062499999996
2019-01-22 16,22549.084166666667
2019-01-22 17,24401.896666666664
2019-01-22 18,25453.40083333333
2019-01-22 19,24792.522500000003
2019-01-22 20,24553.010833333334
2019-01-22 21,23284.203333333335
2019-01-22 22,22244.460000000003
2019-01-22 23,21164.229166666668
2019-01-23 00,21641.87833333333
2019-01-23 01,21783.161666666667
2019-01-23 02,20273.202499999996
2019-01-23 03,20719.65833333333
2019-01-23 04,21396.115
2019-01-23 05,21738.561666666665
2019-01-23 06,22998.02416666667
2019-01-23 07,22826.705833333337
2019-01-23 08,21287.333333333332
2019-01-23 09,21508.725833333334
2019-01-23 10,21406.5525
2019-01-23 11,21296.68416666667
2019-01-23 12,21889.541666666668
2019-01-23 13,21688.97416666667
2019-01-23 14,21844.205
2019-01-23 15,22141.565833333338
2019-01-23 16,21724.871666666662
2019-01-23 17,22861.715
2019-01-23 18,23077.41916666667
2019-01-23 19,22642.626666666667
2019-01-23 20,23222.837499999998
2019-01-23 21,22532.414166666666
2019-01-23 22,22240.627500000002
2019-01-23 23,20922.4325
2019-01-24 00,21380.493333333332
2019-01-24 01,20122.117500000004
2019-01-24 02,19669.971666666668
2019-01-24 03,19761.515833333335
2019-01-24 04,20944.311666666665
2019-01-24 05,22292.47583333333
2019-01-24 06,22673.545
2019-01-24 07,22700.319999999996
2019-01-24 08,22212.928333333333
2019-01-24 09,21414.12416666667
2019-01-24 10,20460.431666666667
2019-01-24 11,21473.33083333333
2019-01-24 12,21142.476666666666
2019-01-24 13,17080.810833333337
2019-01-24 14,19598.453333333335
2019-01-24 15,20104.88
2019-01-24 16,21532.575
2019-01-24 17,24075.6825
2019-01-24 18,24712.7975
2019-01-24 19,24796.57166666667
2019-01-24 20,24610.793333333335
2019-01-24 21,23522.080833333337
2019-01-24 22,22238.147500000003
2019-01-24 23,21178.11416666667
2019-01-25 00,20867.965833333332
2019-01-25 01,20601.969166666666
2019-01-25 02,20641.447500000006
2019-01-25 03,20498.745833333334
2019-01-25 04,21388.328333333335
2019-01-25 05,23319.134166666667
2019-01-25 06,25115.5
2019-01-25 07,25117.91333333333
2019-01-25 08,23282.332500000004
2019-01-25 09,21685.748333333333
2019-01-25 10,20999.063333333335
2019-01-25 11,21742.98583333333
2019-01-25 12,21016.093333333334
