name,PlantType,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost,
268_G_H2,Hydro,40,0,0.006498764,0,40,0,0,14130,9999,
268_G_H3,Hydro,40,0,0.023752144,0,40,0,0,14130,9999,
268_G_H4,Hydro,40,0,0.016838145,0,40,0,0,14130,9999,
269_G_H1,Hydro,40,0,0.035383777,0,40,0,0,14130,9999,
269_G_H2,Hydro,40,0,0.03681989,0,40,0,0,14130,9999,
270_G_H1,Hydro,56,0,0.016538447,0,56,0,0,14130,9999,
270_G_H2,Hydro,57,0,0.021658079,0,57,0,0,14130,9999,
272_G_1,Hydro,60,0,0.005447547,0,60,0,0,14130,9999,
272_G_2,Hydro,60,0,0.043327215,0,60,0,0,14130,9999,
274_G_1,Hydro,4.5,0,0.030821398,0,4.5,0,0,14130,9999,
274_G_2,Hydro,2,0,0.026918766,0,2,0,0,14130,9999,
274_G_3,Hydro,2.7,0,0.019876555,0,2.7,0,0,14130,9999,
275_G_H1,Hydro,63,0,0.011680957,0,63,0,0,14130,9999,
275_G_H2,Hydro,63,0,0.002677946,0,63,0,0,14130,9999,
276_G_1,Hydro,3.2,0,0.037906846,0,3.2,0,0,14130,9999,
277_G_3,Hydro,4.2,0,0.049431837,0,4.2,0,0,14130,9999,
279_G_1,Hydro,11,0,0.041271961,0,11,0,0,14130,9999,
279_G_2,Hydro,33,0,0.007568625,0,33,0,0,14130,9999,
280_G_1,Hydro,7,0,0.01474453,0,7,0,0,14130,9999,
281_G_1,Hydro,7,0,0.022124983,0,7,0,0,14130,9999,
282_G_1,Hydro,4.4,0,0.023725589,0,4.4,0,0,14130,9999,
283_G_1,Hydro,5.8,0,0.037628921,0,5.8,0,0,14130,9999,
284_G_1,Hydro,7,0,0.005517689,0,7,0,0,14130,9999,
285_G_HC1,Hydro,91,0,0.002804415,0,91,0,0,14130,9999,
287_G_H1,Hydro,29,0,0.047760801,0,29,0,0,14130,9999,
287_G_H2,Hydro,29,0,0.027652262,0,29,0,0,14130,9999,
289_G_1,Hydro,3.2,0,0.029092629,0,3.2,0,0,14130,9999,
289_G_2,Hydro,3.2,0,0.026704673,0,3.2,0,0,14130,9999,
290_G_1,Hydro,9,0,0.011002293,0,9,0,0,14130,9999,
291_G_1,Hydro,14.5,0,0.017583051,0,14.5,0,0,14130,9999,
292_G_1,Hydro,14,0,0.02210766,0,14,0,0,14130,9999,
292_G_2,Hydro,3.2,0,0.048496329,0,3.2,0,0,14130,9999,
293_G_1,Hydro,5,0,0.000311028,0,5,0,0,14130,9999,
293_G_2,Hydro,5,0,0.00627166,0,5,0,0,14130,9999,
293_G_3,Hydro,5,0,0.025142838,0,5,0,0,14130,9999,
293_G_4,Hydro,5,0,0.019795186,0,5,0,0,14130,9999,
294_G_1,Hydro,14,0,0.034402254,0,14,0,0,14130,9999,
294_G_2,Hydro,14,0,0.047547229,0,14,0,0,14130,9999,
295_G_1,Hydro,17,0,0.028573397,0,17,0,0,14130,9999,
295_G_2,Hydro,17,0,0.018271396,0,17,0,0,14130,9999,
296_G_1,Hydro,0.4,0,0.018188987,0,0.4,0,0,14130,9999,
296_G_2,Hydro,0.4,0,0.022535037,0,0.4,0,0,14130,9999,
296_G_3,Hydro,1.1,0,0.034298795,0,1.1,0,0,14130,9999,
297_G_1,Hydro,18.8,0,0.035314673,0,18.8,0,0,14130,9999,
314_G_1,Hydro,1.9,0,0.049666831,0,1.9,0,0,14130,9999,
314_G_2,Hydro,1.9,0,0.027785218,0,1.9,0,0,14130,9999,
316_G_1,Hydro,8.5,0,0.003268768,0,8.5,0,0,14130,9999,
317_G_1,Hydro,19.8,0,0.04123839,0,19.8,0,0,14130,9999,
317_G_2,Hydro,15.8,0,0.035581171,0,15.8,0,0,14130,9999,
317_G_3,Hydro,21.6,0,0.027890325,0,21.6,0,0,14130,9999,
317_G_4,Hydro,31.2,0,0.041960067,0,31.2,0,0,14130,9999,
318_G_3,Hydro,15.8,0,0.014508828,0,15.8,0,0,14130,9999,
318_G_4,Hydro,15.8,0,0.034160105,0,15.8,0,0,14130,9999,
318_G_5,Hydro,17.5,0,0.033357374,0,17.5,0,0,14130,9999,
318_G_6,Hydro,17.5,0,0.01559753,0,17.5,0,0,14130,9999,
319_G_1,Hydro,34,0,0.010892436,0,34,0,0,14130,9999,
319_G_2,Hydro,34,0,0.014610266,0,34,0,0,14130,9999,
319_G_3,Hydro,33,0,0.031318065,0,33,0,0,14130,9999,
319_G_4,Hydro,36,0,0.015362652,0,36,0,0,14130,9999,
319_G_5,Hydro,36.5,0,0.049107034,0,36.5,0,0,14130,9999,
320_G_1,Hydro,50,0,0.034801086,0,50,0,0,14130,9999,
320_G_2,Hydro,50,0,0.03060492,0,50,0,0,14130,9999,
321_G_1,Hydro,25.8,0,0.009527553,0,25.8,0,0,14130,9999,
321_G_2,Hydro,45,0,0.013786133,0,45,0,0,14130,9999,
322_G_1,Hydro,50,0,0.009493225,0,50,0,0,14130,9999,
322_G_2,Hydro,50,0,0.027909258,0,50,0,0,14130,9999,
323_G_1,Hydro,2.5,0,0.007770076,0,2.5,0,0,14130,9999,
323_G_2,Hydro,2.5,0,0.043224202,0,2.5,0,0,14130,9999,
323_G_3,Hydro,2.3,0,0.026277104,0,2.3,0,0,14130,9999,
324_G_1,Hydro,2.8,0,0.038007941,0,2.8,0,0,14130,9999,
324_G_2,Hydro,2.8,0,0.015718917,0,2.8,0,0,14130,9999,
324_G_3,Hydro,2.8,0,0.0416293,0,2.8,0,0,14130,9999,
325_G_1,Hydro,1,0,0.038148195,0,1,0,0,14130,9999,
325_G_2,Hydro,1,0,0.044518981,0,1,0,0,14130,9999,
