name,maxcap,mincap,opcost,minup,ramp,st_cost,var_om,fix_om,regcost
404_G_4,204.0,81.6,26.61994205,4,64.872,20826.322809999998,3.6,13170,0.0
422_G_ST1,16.0,6.4,26.62498537,4,10.224,1633.437083,3.6,13170,0.0
55985_G_CTG2,170.0,68.0,26.62819249,4,54.06,17355.26901,3.6,13170,0.0
57978_G_ST1,95.0,38.0,26.6318272,4,60.705,9698.532681,3.6,13170,0.0
55985_G_STG,222.0,88.8,26.63336136,4,70.596,22663.93953,3.6,13170,0.0
55656_G_ST03,174.0,69.6,26.63746403,4,55.332,17763.62828,3.6,13170,0.0
55656_G_ST05,87.0,34.8,26.63787216,4,55.593,8881.81414,3.6,13170,0.0
57978_G_CT1,162.0,64.8,26.64262305,4,51.516000000000005,16538.55047,3.6,13170,0.0
55656_G_CT04,156.0,62.4,26.67181648,4,49.608000000000004,15926.011559999999,3.6,13170,0.0
55656_G_CT02,173.0,69.2,26.68045832,4,55.013999999999996,17661.53846,3.6,13170,0.0
55656_G_CT01,175.0,70.0,26.68312165,4,55.65,17865.7181,3.6,13170,0.0
56046_G_2,140.0,56.0,26.82221947,4,44.52,14292.574480000001,3.6,13170,0.0
56467_G_STG1,245.0,98.0,26.82703266,4,77.91,25012.00534,3.6,13170,0.0
55400_G_CTG1,156.0,62.4,26.84378519,4,49.608000000000004,15926.011559999999,3.6,13170,0.0
56046_G_1,161.0,64.4,26.84650305,4,51.198,16436.46065,3.6,13170,0.0
55400_G_CTG2,156.0,62.4,26.85180649,4,49.608000000000004,15926.011559999999,3.6,13170,0.0
56467_G_CTG2,185.0,74.0,26.85364049,4,58.83,18886.61627,3.6,13170,0.0
56467_G_CTG1,185.0,74.0,26.85452645,4,58.83,18886.61627,3.6,13170,0.0
55400_G_STG,213.0,85.2,26.85734517,4,67.734,21745.13117,3.6,13170,0.0
50850_G_GEN1,22.5,9.0,26.86954287,4,14.3775,2297.020898,3.6,13170,0.0
50850_G_GEN2,6.5,2.6,26.87701776,4,4.1535,663.5838150000001,3.6,13170,0.0
56476_G_C,209.4,83.76,26.88752807,4,66.5892,21377.60783,3.6,13170,0.0
56532_G_C,306.0,122.4,26.890646899999997,4,97.30799999999999,31239.48422,3.6,13170,0.0
56532_G_A,167.0,66.8,26.89122255,4,53.106,17048.99956,3.6,13170,0.0
56532_G_B,167.0,66.8,26.89700268,4,53.106,17048.99956,3.6,13170,0.0
56476_G_B,177.0,70.8,26.90763303,4,56.286,18069.89773,3.6,13170,0.0
56476_G_A,177.0,70.8,26.90788084,4,56.286,18069.89773,3.6,13170,0.0
260_G_CT1A,165.0,66.0,26.99793266,4,52.47,16844.819919999998,3.6,13170,0.0
55393_G_STG1,202.1,80.84,26.99869082,4,64.2678,20632.35216,3.6,13170,0.0
55393_G_CTG2,172.0,68.8,27.00222326,4,54.696000000000005,17559.448640000002,3.6,13170,0.0
260_G_ST1,180.0,72.0,27.00584998,4,57.24,18376.16719,3.6,13170,0.0
55393_G_CTG1,172.0,68.8,27.01770461,4,54.696000000000005,17559.448640000002,3.6,13170,0.0
260_G_CT1B,165.0,66.0,27.0234902,4,52.47,16844.819919999998,3.6,13170,0.0
260_G_CT2A,165.0,66.0,27.02880279,4,52.47,16844.819919999998,3.6,13170,0.0
260_G_ST2,180.0,72.0,27.03379465,4,57.24,18376.16719,3.6,13170,0.0
