Energy.Source.1,Technology,Utility.ID,Generator.ID,Prime.Mover,Nameplate.Capacity..MW.,Nameplate.Power.Factor,Summer.Capacity..MW.,Winter.Capacity..MW.,Minimum.Load..MW.,Planned.Retirement.Month,Planned.Retirement.Year,VOM,fuelTypes,unit,heatRateLow,heatRateHigh,fuelCost,Notes,capacityQuantile,capacityQuan
DFO,Petroleum Liquids,58893,EG8B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,61089,G-1,IC,1,1,1,1,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.038834951,C
DFO,Petroleum Liquids,58893,EG3A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,57222,KB4,IC,2.5,0.94,2,2,0.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.776699029,A
DFO,Petroleum Liquids,58893,19A,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,17609,8,IC,1.5,0.8,1.5,1.5,1.2,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.155339806,C
DFO,Petroleum Liquids,19798,JH3,IC,6,0.8,3.6,4.6,3.6,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.941747573,A
DFO,Petroleum Liquids,58893,EG6A,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,58893,EG6B,IC,2.2,0.97,2.2,2.2,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.378640777,B
DFO,Petroleum Liquids,61086,G-2,IC,2,1,2,2,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.223300971,C
DFO,Petroleum Liquids,61087,G-7,IC,3,1,3,3,0.5,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.844660194,A
DFO,Petroleum Liquids,58893,EG16B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
DFO,Petroleum Liquids,58893,EG10B,IC,2.3,0.97,2.3,2.3,0,NA,NA,1,petroleum,barrels,5.5,6.2,18.3435,"Distillate Fuel Oil (including diesel, No. 1, No. 2, and No. 4 fuel oils)",0.533980583,B
