"","OPR_DT","OPR_HR","OPR_INTERVAL","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","TRADING_HUB","RENEWABLE_TYPE","LABEL","XML_DATA_ITEM","MARKET_RUN_ID_POS","RENEW_POS","MW","MARKET_RUN_ID","GROUP"
"43","2019-10-16",22,0,"2019-10-17T04:00:00-00:00","2019-10-17T05:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,857.16,"DAM",2
"44","2019-10-16",21,0,"2019-10-17T03:00:00-00:00","2019-10-17T04:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,871.41,"DAM",2
"45","2019-10-16",20,0,"2019-10-17T02:00:00-00:00","2019-10-17T03:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,834.94,"DAM",2
"46","2019-10-16",19,0,"2019-10-17T01:00:00-00:00","2019-10-17T02:00:00-00:00","NP15","Wind","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,1,772.23,"DAM",2
"47","2019-10-16",6,0,"2019-10-16T12:00:00-00:00","2019-10-16T13:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"48","2019-10-16",18,0,"2019-10-17T00:00:00-00:00","2019-10-17T01:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,1277.44,"DAM",3
"49","2019-10-16",5,0,"2019-10-16T11:00:00-00:00","2019-10-16T12:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"50","2019-10-16",11,0,"2019-10-16T17:00:00-00:00","2019-10-16T18:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,5930.92,"DAM",3
"51","2019-10-16",4,0,"2019-10-16T10:00:00-00:00","2019-10-16T11:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,0,"DAM",3
"52","2019-10-16",15,0,"2019-10-16T21:00:00-00:00","2019-10-16T22:00:00-00:00","SP15","Solar","Renewable Forecast Day Ahead","RENEW_FCST_DA_MW",1,2,5740.24,"DAM",3
