,OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
12,3/30/19,13,0,2019-03-30T19:00:00-00:00,2019-03-30T20:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1447.09,DAM,1
30,3/30/19,13,0,2019-03-30T19:00:00-00:00,2019-03-30T20:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,100.71,DAM,2
56,3/30/19,13,0,2019-03-30T19:00:00-00:00,2019-03-30T20:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7579.29,DAM,3
88,3/30/19,13,0,2019-03-30T19:00:00-00:00,2019-03-30T20:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,342.69,DAM,4
111,3/30/19,13,0,2019-03-30T19:00:00-00:00,2019-03-30T20:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1617.62,DAM,5
13,3/30/19,14,0,2019-03-30T20:00:00-00:00,2019-03-30T21:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1437.1,DAM,1
29,3/30/19,14,0,2019-03-30T20:00:00-00:00,2019-03-30T21:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,89.63,DAM,2
68,3/30/19,14,0,2019-03-30T20:00:00-00:00,2019-03-30T21:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7553.78,DAM,3
89,3/30/19,14,0,2019-03-30T20:00:00-00:00,2019-03-30T21:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,271.89,DAM,4
112,3/30/19,14,0,2019-03-30T20:00:00-00:00,2019-03-30T21:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1622.14,DAM,5
14,3/30/19,15,0,2019-03-30T21:00:00-00:00,2019-03-30T22:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1434.17,DAM,1
28,3/30/19,15,0,2019-03-30T21:00:00-00:00,2019-03-30T22:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,83.94,DAM,2
52,3/30/19,15,0,2019-03-30T21:00:00-00:00,2019-03-30T22:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7463.7,DAM,3
90,3/30/19,15,0,2019-03-30T21:00:00-00:00,2019-03-30T22:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,214.06,DAM,4
113,3/30/19,15,0,2019-03-30T21:00:00-00:00,2019-03-30T22:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1618.68,DAM,5
15,3/30/19,16,0,2019-03-30T22:00:00-00:00,2019-03-30T23:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1421.08,DAM,1
27,3/30/19,16,0,2019-03-30T22:00:00-00:00,2019-03-30T23:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,91.96,DAM,2
60,3/30/19,16,0,2019-03-30T22:00:00-00:00,2019-03-30T23:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,7166.75,DAM,3
91,3/30/19,16,0,2019-03-30T22:00:00-00:00,2019-03-30T23:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,187.15,DAM,4
114,3/30/19,16,0,2019-03-30T22:00:00-00:00,2019-03-30T23:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1587.11,DAM,5
16,3/30/19,17,0,2019-03-30T23:00:00-00:00,2019-03-31T00:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1381.22,DAM,1
26,3/30/19,17,0,2019-03-30T23:00:00-00:00,2019-03-31T00:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,106.56,DAM,2
69,3/30/19,17,0,2019-03-30T23:00:00-00:00,2019-03-31T00:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,6422.92,DAM,3
92,3/30/19,17,0,2019-03-30T23:00:00-00:00,2019-03-31T00:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,191.69,DAM,4
94,3/30/19,17,0,2019-03-30T23:00:00-00:00,2019-03-31T00:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1445.54,DAM,5
17,3/30/19,18,0,2019-03-31T00:00:00-00:00,2019-03-31T01:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1099.43,DAM,1
24,3/30/19,18,0,2019-03-31T00:00:00-00:00,2019-03-31T01:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,116.21,DAM,2
48,3/30/19,18,0,2019-03-31T00:00:00-00:00,2019-03-31T01:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,4351.41,DAM,3
70,3/30/19,18,0,2019-03-31T00:00:00-00:00,2019-03-31T01:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,256.88,DAM,4
93,3/30/19,18,0,2019-03-31T00:00:00-00:00,2019-03-31T01:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1023.8,DAM,5
18,3/30/19,19,0,2019-03-31T01:00:00-00:00,2019-03-31T02:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,440.84,DAM,1
46,3/30/19,19,0,2019-03-31T01:00:00-00:00,2019-03-31T02:00:00-00:00,NP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,135.33,DAM,2
67,3/30/19,19,0,2019-03-31T01:00:00-00:00,2019-03-31T02:00:00-00:00,SP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1302.71,DAM,3
71,3/30/19,19,0,2019-03-31T01:00:00-00:00,2019-03-31T02:00:00-00:00,SP15,Wind,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,1,406.71,DAM,4
115,3/30/19,19,0,2019-03-31T01:00:00-00:00,2019-03-31T02:00:00-00:00,ZP26,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,348.18,DAM,5
