"","INTERVALSTARTTIME_GMT","INTERVALENDTIME_GMT","SLRS_TYPE","OPR_DT","OPR_HR","OPR_INTERVAL","MARKET_RUN_ID","TAC_ZONE_NAME","SCHEDULE","XML_DATA_ITEM","POS","MW","GROUP"
"58","2019-09-10T03:50:00-00:00","2019-09-10T03:55:00-00:00","ALL","2019-09-09",21,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22755.27,1
"59","2019-09-10T04:00:00-00:00","2019-09-10T04:05:00-00:00","ALL","2019-09-09",22,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22473.98,1
"60","2019-09-10T04:05:00-00:00","2019-09-10T04:10:00-00:00","ALL","2019-09-09",22,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21596.02,1
"61","2019-09-10T04:50:00-00:00","2019-09-10T04:55:00-00:00","ALL","2019-09-09",22,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22127.93,1
"62","2019-09-10T04:55:00-00:00","2019-09-10T05:00:00-00:00","ALL","2019-09-09",22,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21809.19,1
"63","2019-09-10T05:05:00-00:00","2019-09-10T05:10:00-00:00","ALL","2019-09-09",23,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21273.07,1
"64","2019-09-10T06:45:00-00:00","2019-09-10T06:50:00-00:00","ALL","2019-09-09",24,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20439.7,1
"65","2019-09-10T06:50:00-00:00","2019-09-10T06:55:00-00:00","ALL","2019-09-09",24,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20521.16,1
"66","2019-09-10T06:55:00-00:00","2019-09-10T07:00:00-00:00","ALL","2019-09-09",24,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20773.32,1
"67","2019-09-09T08:00:00-00:00","2019-09-09T08:05:00-00:00","ALL","2019-09-09",2,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19540.4,1
"68","2019-09-09T09:20:00-00:00","2019-09-09T09:25:00-00:00","ALL","2019-09-09",3,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19240.28,1
"69","2019-09-09T09:45:00-00:00","2019-09-09T09:50:00-00:00","ALL","2019-09-09",3,10,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19407.37,1
"70","2019-09-09T09:50:00-00:00","2019-09-09T09:55:00-00:00","ALL","2019-09-09",3,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19463.93,1
"71","2019-09-09T09:55:00-00:00","2019-09-09T10:00:00-00:00","ALL","2019-09-09",3,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19489.6,1
"72","2019-09-09T10:15:00-00:00","2019-09-09T10:20:00-00:00","ALL","2019-09-09",4,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19333.29,1
"73","2019-09-09T10:20:00-00:00","2019-09-09T10:25:00-00:00","ALL","2019-09-09",4,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19233.21,1
"74","2019-09-09T10:55:00-00:00","2019-09-09T11:00:00-00:00","ALL","2019-09-09",4,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19366.81,1
"75","2019-09-09T11:20:00-00:00","2019-09-09T11:25:00-00:00","ALL","2019-09-09",5,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19683.88,1
"76","2019-09-09T11:40:00-00:00","2019-09-09T11:45:00-00:00","ALL","2019-09-09",5,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20013.56,1
"77","2019-09-09T12:05:00-00:00","2019-09-09T12:10:00-00:00","ALL","2019-09-09",6,2,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20292.97,1
"78","2019-09-09T12:20:00-00:00","2019-09-09T12:25:00-00:00","ALL","2019-09-09",6,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20208.65,1
"79","2019-09-09T13:10:00-00:00","2019-09-09T13:15:00-00:00","ALL","2019-09-09",7,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21503.69,1
"80","2019-09-09T13:15:00-00:00","2019-09-09T13:20:00-00:00","ALL","2019-09-09",7,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21655.37,1
"81","2019-09-09T13:30:00-00:00","2019-09-09T13:35:00-00:00","ALL","2019-09-09",7,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22046.47,1
"82","2019-09-09T14:40:00-00:00","2019-09-09T14:45:00-00:00","ALL","2019-09-09",8,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22192.76,1
"83","2019-09-09T14:55:00-00:00","2019-09-09T15:00:00-00:00","ALL","2019-09-09",8,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21814.46,1
"84","2019-09-09T15:00:00-00:00","2019-09-09T15:05:00-00:00","ALL","2019-09-09",9,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22132.21,1
"85","2019-09-09T15:25:00-00:00","2019-09-09T15:30:00-00:00","ALL","2019-09-09",9,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21481.88,1
"86","2019-09-09T15:40:00-00:00","2019-09-09T15:45:00-00:00","ALL","2019-09-09",9,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,20781.71,1
"87","2019-09-09T16:30:00-00:00","2019-09-09T16:35:00-00:00","ALL","2019-09-09",10,7,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,19303.71,1
"88","2019-09-09T19:20:00-00:00","2019-09-09T19:25:00-00:00","ALL","2019-09-09",13,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21707.98,1
"89","2019-09-09T19:40:00-00:00","2019-09-09T19:45:00-00:00","ALL","2019-09-09",13,9,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21830.4,1
"90","2019-09-09T20:20:00-00:00","2019-09-09T20:25:00-00:00","ALL","2019-09-09",14,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22424.54,1
"91","2019-09-09T20:55:00-00:00","2019-09-09T21:00:00-00:00","ALL","2019-09-09",14,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22711.44,1
"92","2019-09-09T21:35:00-00:00","2019-09-09T21:40:00-00:00","ALL","2019-09-09",15,8,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22055.81,1
"93","2019-09-09T22:00:00-00:00","2019-09-09T22:05:00-00:00","ALL","2019-09-09",16,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23265.04,1
"94","2019-09-09T23:00:00-00:00","2019-09-09T23:05:00-00:00","ALL","2019-09-09",17,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23028.35,1
"95","2019-09-10T00:15:00-00:00","2019-09-10T00:20:00-00:00","ALL","2019-09-09",18,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22982.77,1
"96","2019-09-10T00:25:00-00:00","2019-09-10T00:30:00-00:00","ALL","2019-09-09",18,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23059.75,1
"97","2019-09-10T00:55:00-00:00","2019-09-10T01:00:00-00:00","ALL","2019-09-09",18,12,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23012.39,1
"98","2019-09-10T01:00:00-00:00","2019-09-10T01:05:00-00:00","ALL","2019-09-09",19,1,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22861.98,1
"99","2019-09-10T01:25:00-00:00","2019-09-10T01:30:00-00:00","ALL","2019-09-09",19,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22665.51,1
"100","2019-09-10T01:50:00-00:00","2019-09-10T01:55:00-00:00","ALL","2019-09-09",19,11,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,22985.46,1
"101","2019-09-10T02:10:00-00:00","2019-09-10T02:15:00-00:00","ALL","2019-09-09",20,3,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,23500.23,1
"102","2019-09-10T04:25:00-00:00","2019-09-10T04:30:00-00:00","ALL","2019-09-09",22,6,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21479.11,1
"103","2019-09-10T05:15:00-00:00","2019-09-10T05:20:00-00:00","ALL","2019-09-09",23,4,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21195.79,1
"104","2019-09-10T05:20:00-00:00","2019-09-10T05:25:00-00:00","ALL","2019-09-09",23,5,"RTM","Caiso_Totals","Export","ISO_TOT_EXP_MW",1,21385.09,1
